country,date,GDP,GDP_per_capita,Urban_pop_pct
Brazil,2023-01-01,2191131869706.02,10377.5897719195,87.6159710235763
Brazil,2022-01-01,1951923832083.87,9281.33282136864,87.349556243881
Brazil,2021-01-01,1670647464062.96,7972.53696080695,87.1360781715439
Brazil,2020-01-01,1476107292151.95,7074.19407495707,86.9112186503004
Brazil,2019-01-01,1873288158838.63,9029.83304401079,86.6797991084296
Brazil,2018-01-01,1916933708352.71,9300.66072904004,86.4420719945072
Brazil,2017-01-01,2063514688805.78,10080.5078722821,86.1982897571091
Brazil,2016-01-01,1795693265999.04,8836.28546025694,85.9487048448108
Brazil,2015-01-01,1802211999456.42,8936.1955889444,85.6935697061881
Brazil,2014-01-01,2456043766032.38,12274.9941630213,85.4331367898168
Brazil,2013-01-01,2472819362043.74,12458.8903396625,85.1676585442726
Brazil,2012-01-01,2465228293706.86,12521.7238454434,84.8973874181312
Brazil,2011-01-01,2616156606579.21,13396.6263158041,84.6225758599683
Brazil,2010-01-01,2208838108484.35,11403.2840038694,84.343846036308
Brazil,2009-01-01,1666996294252.12,8678.6584730653,84.0698380333651
Brazil,2008-01-01,1695855391757.96,8908.33338467948,83.8036050557184
China,2023-01-01,18270356654533.2,12951.1782397043,65.5301448035523
China,2022-01-01,18316765021690.2,12970.6056414327,65.2176361083984
China,2021-01-01,18201698719564.0,12887.4357242941,64.721076965332
China,2020-01-01,14996414166715.1,10627.4637989619,63.5234230266258
China,2019-01-01,14560167101283.4,10342.9009524335,62.7099151611328
China,2018-01-01,14147765772963.8,10085.6638148819,61.5001983642578
China,2017-01-01,12537559062282.9,8979.67652709856,60.2402687072754
China,2016-01-01,11456024084962.0,8254.86859320357,58.8399238586426
China,2015-01-01,11280814787468.9,8175.33285077393,57.3297843933105
China,2014-01-01,10674533168257.4,7781.06597484974,55.7502555847168
China,2013-01-01,9743124247267.24,7147.03518622344,54.4900016784668
China,2012-01-01,8673664713189.24,6405.0574241349,53.1003112792969
China,2011-01-01,7671757207851.29,5703.76027973346,51.8300285339355
China,2010-01-01,6192564874453.29,4629.24551710077,49.2340270628041
China,2009-01-01,5189577094997.58,3898.24459158811,48.3417053222656
China,2008-01-01,4667346414521.95,3523.44302065213,46.9895057678223
Germany,2023-01-01,4562207532490.28,54776.7668235491,81.9034366692129
Germany,2022-01-01,4201021706478.62,50506.5179638543,81.7867852780995
Germany,2021-01-01,4355251953410.78,52349.2459994422,81.6325870653934
Germany,2020-01-01,3941398957073.94,47394.8734504469,81.4700055002738
Germany,2019-01-01,3959894794039.21,47656.199739747,81.3053991689039
Germany,2018-01-01,4055433215301.96,48916.1686612154,81.1423036204018
Germany,2017-01-01,3765351626105.89,45553.9341495339,80.9842544038853
Germany,2016-01-01,3536787895179.0,42948.9381932694,80.8347870684725
Germany,2015-01-01,3425099578746.09,41929.7549110722,80.6974371632814
Germany,2014-01-01,3964870735760.77,48959.5991203133,80.57574023743
Germany,2013-01-01,3807023797050.99,47206.8353514242,80.4732318400362
Germany,2012-01-01,3596483233406.25,44718.0159214069,80.393447520218
Germany,2011-01-01,3823575803793.78,47630.9761883572,80.3405762928198
Germany,2010-01-01,3467093769666.67,42396.9665976293,80.305702559949
Germany,2009-01-01,3478545516683.59,42471.8868625226,80.2745192417062
Germany,2008-01-01,3808197720125.0,46379.1647953479,80.2459549084581
France,2023-01-01,3056250648138.29,44700.1384177544,78.7804323126547
France,2022-01-01,2794788137066.94,40988.6396406579,78.7591921123356
France,2021-01-01,2966433692008.09,43725.0999521245,78.7364603392338
France,2020-01-01,2647926055110.05,39169.8606000707,78.7119131765249
France,2019-01-01,2722793515171.76,40408.2848574751,78.6890784549356
France,2018-01-01,2781576320884.39,41418.1766484844,78.6714432536599
France,2017-01-01,2588868323334.71,38687.1626407164,78.6467804026368
France,2016-01-01,2470407619777.13,37024.2157133669,78.5999114705779
France,2015-01-01,2442483452642.5,36702.4323733379,77.7610919150066
France,2014-01-01,2861236112552.42,43148.0459288416,77.3524296788613
France,2013-01-01,2816077607875.26,42669.1795111893,77.2440721470918
France,2012-01-01,2683007095787.23,40863.5814412333,77.1669464919916
France,2011-01-01,2870408553990.28,43929.7840873812,77.1182717387509
France,2010-01-01,2646230027988.34,40694.8211697025,77.0962844808803
France,2009-01-01,2700075882518.98,41728.0884164132,77.1005391809676
France,2008-01-01,2926802941585.86,45464.8181385158,77.1561901569367
United Kingdom,2023-01-01,3420796653789.08,49944.4702124201,83.1601932891335
United Kingdom,2022-01-01,3181244350465.41,47057.043229179,83.0753982997505
United Kingdom,2021-01-01,3194559188925.93,47691.3768799404,82.9886431523641
United Kingdom,2020-01-01,2724001478304.59,40812.6794663879,82.9000015258789
United Kingdom,2019-01-01,2875710080015.3,43158.7411267323,82.6699420738913
United Kingdom,2018-01-01,2897028009916.05,43702.9976303165,82.4465657551295
United Kingdom,2017-01-01,2699118387873.1,40916.8115070354,82.23065673273
United Kingdom,2016-01-01,2706807606538.73,41257.9085545556,82.0229991698295
United Kingdom,2015-01-01,2945579890258.46,45255.3449216209,81.8243772295647
United Kingdom,2014-01-01,3085362169410.29,47746.2421759562,81.6355750750722
United Kingdom,2013-01-01,2796908333283.39,43606.9837896348,81.4573768694887
United Kingdom,2012-01-01,2719715961539.83,42688.3263728372,81.2905667759508
United Kingdom,2011-01-01,2675590034128.66,42295.9273835322,81.1359685592627
United Kingdom,2010-01-01,2496740681057.14,39778.3220528565,80.995165116277
United Kingdom,2009-01-01,2429358155475.93,39009.3715547821,80.8692180088478
United Kingdom,2008-01-01,2945251838235.29,47652.4030691881,80.7547673906116
India,2023-01-01,3638489096033.86,2530.12031278204,35.0676918424186
India,2022-01-01,3346107287730.93,2347.44829434623,34.7555673994206
India,2021-01-01,3167270623260.47,2239.61384367482,34.4425517181304
India,2020-01-01,2674851578587.27,1907.04251637669,34.1286726088333
India,2019-01-01,2835606256558.19,2041.42863698585,33.8139578818147
India,2018-01-01,2702929641648.74,1966.25455171679,33.4984353473598
India,2017-01-01,2651474262755.45,1950.10468280866,33.1821328157539
India,2016-01-01,2294796885663.16,1707.50892912243,32.8650780972823
India,2015-01-01,2103588360044.94,1583.99815907985,32.5472990022299
India,2014-01-01,2039126479154.52,1553.88396075118,32.2288233408821
India,2013-01-01,1856721507621.58,1432.84397512195,31.9096789235237
India,2012-01-01,1827637590410.41,1429.32199520032,31.5898935604399
India,2011-01-01,1823051829894.55,1445.46127486037,31.2746502853309
India,2010-01-01,1675615519484.96,1347.51939071367,30.9042190810094
India,2009-01-01,1341888016994.9,1094.94974598436,30.5185314023263
India,2008-01-01,1198895139005.92,992.519584923828,30.1438485921815
Japan,2023-01-01,4213167237905.83,33836.1756271617,92.0826903891473
Japan,2022-01-01,4262463317796.53,34065.6438962526,91.9776532428406
Japan,2021-01-01,5039148168861.22,40094.5599795288,91.8741049279527
Japan,2020-01-01,5054068005376.28,40028.7341726762,91.7809926267889
Japan,2019-01-01,5117993853016.51,40415.9567649547,91.7164207898107
Japan,2018-01-01,5040880939324.86,39751.1330982711,91.6377318609728
Japan,2017-01-01,4930837369151.42,38834.0529341227,91.5498419685883
Japan,2016-01-01,5003677627544.24,39375.4731620781,91.4541254852142
Japan,2015-01-01,4444930651964.18,34960.6393843385,91.3532644103625
Japan,2014-01-01,4896994405353.29,38475.3952461838,91.2548945132333
Japan,2013-01-01,5212328181166.18,40898.6478964744,91.1516595654317
Japan,2012-01-01,6272362996105.03,49145.2804308193,91.0265277326652
Japan,2011-01-01,6233147172341.35,48760.0789494211,90.8631654434251
Japan,2010-01-01,5759071769013.11,44968.1562349739,90.6228586840649
Japan,2009-01-01,5289493117993.89,41308.9968370512,90.1131158718189
Japan,2008-01-01,5106679115127.3,39876.3039685725,89.2921563808851
Netherlands,2023-01-01,1135475867551.0,63515.6030780019,95.3221682092129
Netherlands,2022-01-01,1046540797548.64,59123.318556487,94.9856177734136
Netherlands,2021-01-01,1054472123449.6,60141.9880911492,94.6294783220315
Netherlands,2020-01-01,932560861701.17,53467.9277413737,94.2532277765935
Netherlands,2019-01-01,928903005576.469,53554.9007491475,93.8898028856479
Netherlands,2018-01-01,929733599796.862,53955.0770024266,92.6062472401044
Netherlands,2017-01-01,848233537845.884,49513.6817346384,91.1219700676602
Netherlands,2016-01-01,797163949289.885,46808.5291492503,90.5803239452777
Netherlands,2015-01-01,775743675302.734,45793.8135434697,90.2787737214621
Netherlands,2014-01-01,901556501756.467,53457.2234864322,89.8364787097165
Netherlands,2013-01-01,883951539006.669,52602.2860520766,89.1749992370605
Netherlands,2012-01-01,845689017065.625,50473.9442002689,88.5342462391333
Netherlands,2011-01-01,913140741332.687,54701.7728030611,88.0059204972573
Netherlands,2010-01-01,852464982433.335,51305.7338533973,87.3502790247129
Netherlands,2009-01-01,878954223140.234,53172.0261581418,86.2223179632671
Netherlands,2008-01-01,957901566041.406,58246.7026905874,85.6149582464487
United States,2023-01-01,27292170793214.4,81032.262117545,80.071561119178
United States,2022-01-01,25604848907611.0,76657.2488844403,80.0324978239707
United States,2021-01-01,23315080560000.0,70205.050916026,80.0074765140272
United States,2020-01-01,21060473613000.0,63515.9491807833,79.997451762548
United States,2019-01-01,21380976119000.0,64746.4506778863,80.1304793353594
United States,2018-01-01,20533057312000.0,62499.8744390068,80.2804567987377
United States,2017-01-01,19477336549000.0,59635.0984397965,80.4018678392891
United States,2016-01-01,18695110842000.0,57638.1018367192,80.4976645324131
United States,2015-01-01,18206020741000.0,56572.9188996063,80.5707989535091
United States,2014-01-01,17550680174000.0,54973.4207515712,80.6242231779766
United States,2013-01-01,16843190993000.0,53179.0127634561,80.660889281215
United States,2012-01-01,16253972230000.0,51708.4011556577,80.6837493386238
United States,2011-01-01,15599728123000.0,50024.868799398,80.6957554256024
United States,2010-01-01,15048964444000.0,48642.6100179312,80.6997744673366
United States,2009-01-01,14478064934000.0,47194.9433547336,80.6850378350499
United States,2008-01-01,14769857911000.0,48570.0459804586,80.6219682896606
